,Unique ID,Indicator ID,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Name_Annual vehicle miles traveled,Name_Annual vehicle miles traveled (cars),Name_Annual vehicle miles traveled (trucks),Name_Asthma emergency department visits due to PM2.5,Name_Asthma emergency departments visits due to Ozone,Name_Asthma hospitalizations due to Ozone,Name_Boiler Emissions- Total NOx Emissions,Name_Boiler Emissions- Total PM2.5 Emissions,Name_Boiler Emissions- Total SO2 Emissions,Name_Cardiac and respiratory deaths due to Ozone,Name_Cardiovascular hospitalizations due to PM2.5 (age 40+),Name_Deaths due to PM2.5,Name_Fine particles (PM 2.5),Name_Nitrogen dioxide (NO2),Name_Outdoor Air Toxics - Benzene,Name_Outdoor Air Toxics - Formaldehyde,Name_Ozone (O3),Name_Respiratory hospitalizations due to PM2.5 (age 20+),Measure_Annual average concentration,Measure_Estimated annual rate,Measure_Estimated annual rate (age 18+),Measure_Estimated annual rate (age 30+),Measure_Estimated annual rate (under age 18),Measure_Mean,Measure_Million miles,Measure_Number per km2,Measure Info_mcg/m3,Measure Info_number,"Measure Info_per 100,000","Measure Info_per 100,000 adults","Measure Info_per 100,000 children",Measure Info_per square mile,Measure Info_ppb,Measure Info_Âµg/m3,Geo Type Name_Borough,Geo Type Name_CD,Geo Type Name_Citywide,Geo Type Name_UHF34,Geo Type Name_UHF42
0,179772,640,409.0,Southeast Queens,2015,01/01/2015,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,179785,640,209.0,Bensonhurst - Bay Ridge,2015,01/01/2015,1.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,178540,365,209.0,Bensonhurst - Bay Ridge,Annual Average 2012,12/01/2011,8.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3,178561,365,409.0,Southeast Queens,Annual Average 2012,12/01/2011,8.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4,823217,365,409.0,Southeast Queens,Summer 2022,06/01/2022,6.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5,177910,365,209.0,Bensonhurst - Bay Ridge,Summer 2012,06/01/2012,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6,177952,365,209.0,Bensonhurst - Bay Ridge,Summer 2013,06/01/2013,9.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7,177973,365,409.0,Southeast Queens,Summer 2013,06/01/2013,9.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8,177931,365,409.0,Southeast Queens,Summer 2012,06/01/2012,9.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9,742274,365,410.0,Rockaways,Summer 2021,06/01/2021,7.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10,178582,365,209.0,Bensonhurst - Bay Ridge,Annual Average 2013,12/01/2012,8.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
