,Campus Name,Lower Grade,Upper Grade,Grade Range,Map Label,Lower Age,Upper Age,CDS Code,Campus Address,Location 1,Zip Codes,Supervisor District,Neighborhoods (old),Fire Prevention Districts,Police Districts,Supervisor Districts,CCSF Entity_Private,CCSF Entity_SFCCD,CCSF Entity_SFUSD,Category_Community College District,Category_Independent / Private,Category_USD Charter School,Category_USD Charter School; PreK-5,Category_USD County School,Category_USD Grades 6-12,Category_USD Grades 6-8,Category_USD Grades 9-12,Category_USD Grades K-4,Category_USD Grades K-5,"Category_USD Grades K-5, PreK-5",Category_USD Grades K-8,Category_USD Grades PK-8,Category_USD PreK,"Category_USD PreK, Grades K-5",Category_USD PreK-4,"Category_USD PreK-4, Grades K-5",Category_USD PreK-5,Category_USD PreK-5                                   ,"Category_USD PreK-5, Grades K-5",Category_USD PreK-8,Category_USD PreK/TK,Category_USD PreK/TK-4,Category_USD PreK/TK-5,General Type_CC,General Type_CDC,General Type_IND,General Type_PS
0,"Milk, Harvey Milk Childrens Center",-2,-1,PK,CDC095,3,4,,"841 ELLIS ST, SAN FRANCISCO CA 94117","CA
(37.783802, -122.420105)",28858,6,36,7.0,9.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,Mckinley Elementary School,0,5,K-5,PS075,5,10,38684786041420.0,"1025 14TH ST, San Francisco, CA 94114","CA
(37.766884, -122.436279)",28862,8,3,15.0,5.0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Jewish Community Center San Francisco - Rosenberg Early Childhood Center,-2,-1,PK,CDC058,3,4,380504700.0,"325 ARGUELLO BLVD, SAN FRANCISCO, CA 94118","CA
(37.784588, -122.459488)",54,1,11,11.0,6.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,Eureka Learning Center,-2,-1,PK,CDC035,3,4,38684787044605.0,"464 DIAMOND ST, SAN FRANCISCO, CA 94114","CA
(37.754967, -122.437004)",28862,8,22,2.0,4.0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,Noriega Early Education School,-2,5,PK-5,PS085,3,10,38684780117473.0,"1775 44TH AVE, San Francisco, CA 94122","CA
(37.753834, -122.503654)",56,4,35,1.0,8.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5,Marin Preparatory School,0,8,K-8,IND271,5,13,,"117 DIAMOND ST, SAN FRANCISCO, CA 94114","CA
(37.760124, -122.436798)",28862,8,3,2.0,4.0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,Montessori House Of Children,0,1,K-1,IND276,5,6,380501318.0,"1187 FRANKLIN ST, SAN FRANCISCO, CA 94109","CA
(37.785046, -122.423416)",28858,5,41,13.0,9.0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,West Portal Lutheran School,0,8,K-8,IND337,5,13,38684786980874.0,"200 SLOAT BLVD, SAN FRANCISCO, CA 94132","CA
(37.735092, -122.473999)",29491,7,40,1.0,8.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,Economic Opportunity Council Sf - Delta Preschool,-2,-1,PK,CDC028,3,4,380504362.0,"300 LELAND AVE, SAN FRANCISCO, CA 94134","CA
(37.713379, -122.409553)",309,10,39,9.0,7.0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,Teaching Tots Preschool,-2,-1,PK,CDC144,3,4,,"728 PACIFIC AVE STE 706, SAN FRANCISCO, CA 94133","CA
(37.797092, -122.407471)",308,3,4,3.0,1.0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
