o3_AQI,f0_,f1_,f2_,f3_,DayLoc
114.0,40.5,0.0,1.0,100.0,1997-04-04 Wisconsin Milwaukee
75.0,23.5,0.0,1.0,100.0,1997-04-10 Wisconsin Milwaukee
52.5,13.0,0.0,1.0,100.0,1997-04-16 Wisconsin Milwaukee
27.0,6.5,0.0,1.0,100.0,1997-04-22 Wisconsin Waukesha
90.66666666666669,31.0,0.0,1.0,100.0,1997-04-28 Wisconsin Milwaukee
27.0,6.5,0.0,1.0,100.0,1997-05-04 Wisconsin Waukesha
34.666666666666664,8.333333333333334,0.0,1.0,100.0,1997-05-10 Wisconsin Kenosha
37.66666666666666,9.0,0.0,1.0,100.0,1997-05-16 Wisconsin Milwaukee
27.666666666666668,6.666666666666667,0.0,1.0,100.0,1997-05-22 Wisconsin Waukesha
51.333333333333336,12.666666666666666,0.0,1.0,100.0,1997-05-28 Wisconsin Milwaukee
50.0,12.0,0.0,1.0,100.0,1997-06-03 Wisconsin Milwaukee
64.66666666666667,18.666666666666668,0.0,1.0,100.0,1997-06-09 Wisconsin Waukesha
43.0,11.333333333333334,0.0,1.0,100.0,1997-06-15 Wisconsin Milwaukee
52.0,13.666666666666666,0.0,1.0,100.0,1997-06-21 Wisconsin Waukesha
61.0,17.0,0.0,1.0,100.0,1997-06-27 Wisconsin Waukesha
33.333333333333336,8.0,0.0,1.0,100.0,1997-07-03 Wisconsin Milwaukee
37.66666666666666,9.0,0.0,1.0,100.0,1997-07-09 Wisconsin Milwaukee
43.333333333333336,10.333333333333334,0.0,1.0,100.0,1997-07-15 Wisconsin Kenosha
60.0,16.333333333333332,0.0,1.0,100.0,1997-07-21 Wisconsin Waukesha
56.333333333333336,14.666666666666666,0.0,1.0,100.0,1997-07-27 Wisconsin Kenosha
68.0,20.0,0.0,1.0,100.0,1997-08-02 Wisconsin Waukesha
79.33333333333333,25.666666666666668,0.0,1.0,100.0,1997-08-08 Wisconsin Kenosha
