,Day,Temperature,f0_,f1_,f2_,f3_,f4_,f5_,f6_,Location,DayLoc
0,1990-01-01,36.577705614285726,43.70476190476193,8.933333333333337,23.852380952380948,99.39523809523808,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-01 North Dakota Mercer Not in a city
1,1990-01-02,36.36157207476639,43.48598130841121,12.509345794392532,23.49065420560748,97.88317757009344,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-02 North Dakota Mercer Not in a city
2,1990-01-03,38.36023316279068,45.01860465116277,13.367441860465112,23.57209302325582,98.23255813953487,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-03 North Dakota Mercer Not in a city
3,1990-01-04,38.360425819444416,45.66203703703702,11.25462962962962,23.64814814814813,98.53703703703702,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-04 North Dakota Mercer Not in a city
4,1990-01-05,36.962411215596326,43.56880733944951,11.683486238532108,23.85779816513761,99.40825688073394,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-05 North Dakota Mercer Not in a city
5,1990-01-06,37.92672505045872,44.95412844036698,11.605504587155965,23.90366972477064,99.60091743119266,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-06 North Dakota Mercer Not in a city
6,1990-01-07,39.561173294930896,48.15668202764976,13.783410138248849,23.847926267281117,99.37327188940093,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-07 North Dakota Mercer Not in a city
7,1990-01-08,42.8692081935484,52.41474654377881,12.377880184331795,23.718894009216584,98.83410138248848,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-08 North Dakota Mercer Not in a city
8,1990-01-09,45.32644405504588,54.954128440366965,13.477064220183482,23.821100917431185,99.2660550458715,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-09 North Dakota Mercer Not in a city
9,1990-01-10,45.02867074311924,54.93119266055047,11.233944954128445,23.75688073394496,98.99999999999996,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-10 North Dakota Mercer Not in a city
10,1990-01-11,42.00871061643835,49.52054794520546,9.648401826484028,23.716894977168938,98.83561643835613,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-11 North Dakota Mercer Not in a city
11,1990-01-12,37.00999022477065,43.8577981651376,9.922018348623856,23.60550458715597,98.37614678899082,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-12 North Dakota Mercer Not in a city
12,1990-01-13,36.218164423963145,43.65437788018435,12.322580645161285,23.7741935483871,99.06912442396316,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-13 North Dakota Mercer Not in a city
13,1990-01-14,40.36215622222223,47.56944444444444,13.087962962962964,23.89351851851851,99.56481481481477,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-14 North Dakota Mercer Not in a city
14,1990-01-15,42.48832333177571,49.4626168224299,12.224299065420563,23.794392523364483,99.14953271028035,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-15 North Dakota Mercer Not in a city
15,1990-01-16,44.17753037499999,50.82407407407408,12.63425925925926,23.555555555555564,98.16203703703708,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-16 North Dakota Mercer Not in a city
16,1990-01-17,43.446493764976985,50.19815668202767,10.981566820276498,23.68202764976958,98.6866359447005,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-17 North Dakota Mercer Not in a city
17,1990-01-18,40.48512242790699,47.981395348837175,9.544186046511625,23.7813953488372,99.09767441860464,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-18 North Dakota Mercer Not in a city
18,1990-01-19,36.55153162100457,43.05022831050227,10.77625570776256,23.31963470319633,97.17351598173516,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-19 North Dakota Mercer Not in a city
19,1990-01-20,36.41735528037387,43.92990654205606,13.5981308411215,23.89252336448597,99.5514018691588,North Dakota,Mercer,Not in a city,North Dakota Mercer Not in a city,1990-01-20 North Dakota Mercer Not in a city
