,Day,o3_AQI,f0_,f1_,f2_,f3_,f4_,f5_,f6_,Location,DayLoc
0,1990-01-01,,168.9294642857143,12.470238095238098,23.29761904761905,97.095238095238,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-01 Illinois DuPage
1,1990-01-02,,143.69333333333338,10.994202898550718,23.17391304347825,96.59420289855068,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-02 Illinois DuPage
2,1990-01-03,,151.61815561959682,12.155619596541792,23.34870317002881,97.31412103746392,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-03 Illinois DuPage
3,1990-01-04,,169.3809798270892,12.642651296829978,23.792507204610946,99.13544668587896,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-04 Illinois DuPage
4,1990-01-05,,169.38706896551727,9.18390804597701,23.52873563218388,98.0431034482759,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-05 Illinois DuPage
5,1990-01-06,,175.50115606936416,11.687861271676296,23.73121387283237,98.88728323699422,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-06 Illinois DuPage
6,1990-01-07,,163.6060693641617,11.141618497109832,23.80924855491329,99.21098265895944,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-07 Illinois DuPage
7,1990-01-08,,156.69085714285714,12.402857142857144,23.46285714285716,97.76571428571428,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-08 Illinois DuPage
8,1990-01-09,,165.5280453257791,12.33144475920681,23.762039660056654,99.02266288951832,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-09 Illinois DuPage
9,1990-01-10,,165.64090909090913,11.125000000000009,23.676136363636378,98.66761363636364,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-10 Illinois DuPage
10,1990-01-11,,158.45028571428583,12.19714285714286,23.279999999999998,97.0114285714286,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-11 Illinois DuPage
11,1990-01-12,,156.35406976744196,12.59883720930232,23.54941860465118,98.13953488372093,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-12 Illinois DuPage
12,1990-01-13,,157.49681159420305,11.118840579710149,23.60289855072464,98.36521739130434,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-13 Illinois DuPage
13,1990-01-14,,141.83731778425667,12.14285714285714,23.600583090379,98.3440233236152,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-14 Illinois DuPage
14,1990-01-15,,146.19856321839086,11.91379310344828,23.551724137931032,98.13793103448285,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-15 Illinois DuPage
15,1990-01-16,,145.91156069364155,12.783236994219653,23.69942196531791,98.76589595375728,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-16 Illinois DuPage
16,1990-01-17,,152.69885386819487,12.707736389684817,23.475644699140396,97.83094555873927,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-17 Illinois DuPage
17,1990-01-18,,156.5215297450426,11.300283286118974,23.410764872521256,97.55807365439092,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-18 Illinois DuPage
18,1990-01-19,,154.3045325779036,11.563739376770542,23.082152974504247,96.18980169971672,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-19 Illinois DuPage
19,1990-01-20,,165.02785923753663,12.246334310850443,23.82111436950148,99.26392961876832,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-20 Illinois DuPage
20,1990-01-21,,168.50204081632643,10.005830903790088,23.501457725947528,97.91836734693877,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-21 Illinois DuPage
21,1990-01-22,,164.72225433526003,12.450867052023122,22.98843930635836,95.7976878612717,Illinois,DuPage,Lisle,Illinois DuPage,1990-01-22 Illinois DuPage
